26,18
26,18,19,34,9
26,18,19,34,17
26,18,19,34,17,29,33,25,42,43,37
26,18,19,34,25
26,18,19,34,25,11,10,29,43,42,37,44,53
26,18,19,34,25,11,43
26,18,19,34,25,11,12
26,18,19,34,25,20
26,18,19,34,33
26,18,19,34,41,42,33
26,18,19,34,41,20
26,18,19,34,43
26,18,19,34,43,20
26,18,19,34,43,29,25
26,18,19,34,43,29,25,41,33,42,17
26,18,19,34,43,29,25,41,33,42,37
26,18,19,34,43,29,25,42,33,17,41,20,10,24,32,40,11
26,18,19,34,43,29,25,20,17
26,18,19,34,43,29,37
26,18,19,34,43,29,37,11
26,18,19,34,43,29,37,11,33
26,18,19,34,43,29,37,11,30,51
26,18,19,34,43,29,37,44,42,51
26,18,19,34,43,29,37,44,45
26,18,19,34,45
26,18,19,34,45,12,42
26,18,19,34,45,20,42,37,29,38
26,18,19,34,45,37
26,18,19,20,9
26,18,19,20,10
26,18,19,20,10,43,12,11,21,29,44
26,18,19,20,11
26,18,19,20,11,25,17,43,29,21,44,37,46
26,18,19,20,11,25,33
26,18,19,20,11,25,29
26,18,19,20,11,34
26,18,19,20,12
26,18,19,20,13,34
26,18,19,20,13,21,12
26,18,19,20,29
26,18,19,20,29,34
26,18,19,20,29,43,11
26,18,19,20,29,43,11,34,10
26,18,19,20,29,43,11,13,12,21,10
26,18,19,20,29,43,11,13,12,21,44
26,18,19,20,29,43,11,21,12,10,13,34,17,3,4,5,25
26,18,19,20,29,43,44
26,18,19,20,29,43,44,25
26,18,19,20,29,43,44,25,51,30
26,18,19,20,29,43,44,25,12
26,18,19,20,29,43,44,37,21,30
26,18,19,20,29,43,44,37,45
26,18,19,20,45
26,18,19,20,45,33,21
26,18,19,20,45,34,21,44,43,52
26,18,19,20,45,44
26,18,44,34
26,18,37,34
26,34
26,20
26,20,29,34,43,44
26,20,29,34,43,21,42
26,20,29,34,43,21,19
26,20,29,34,43,21,19,18
26,20,29,34,43,21,12
26,20,29,34,43,21,44,18,19,12
26,20,29,34,43,21,44,18,19,12,33
26,20,29,34,43,21,44,18,19,12,33,37
26,20,29,34,43,21,44,18,19,12,33,37,17
26,20,29,34,43,21,44,18,19,12,33,37,25,45,10,52,11,50
26,20,29,34,43,21,44,18,19,12,41,37
26,20,29,34,43,21,44,18,19,12,41,37,25,45,38,51
26,20,29,34,43,21,44,18,19,12,41,37,38
26,20,29,34,43,21,44,18,19,12,41,37,38,45
26,20,29,34,43,21,44,18,19,12,11
26,20,29,34,43,21,44,42
26,20,29,34,44
26,20,37,25
26,20,37,25,21
26,20,37,25,21,29,12,44,38,45,43,42
26,20,37,44,19
26,20,37,44,29
26,20,37,44,29,34,43,42,53,21
26,20,37,44,29,34,43,42,53,38,46
26,20,45,25
